"","sta_id","Declaracion","zsc_f1","zsc_f2","zsc_f3","fsc_f1","fsc_f2","fsc_f3","dist_cons","f1_f2","sig_f1_f2","f1_f3","sig_f1_f3","f2_f3","sig_f2_f3"
"11","D11","Para mí sería fundamental contar con garaje en mi predio",-0.51,0.95,1.49,-1,2,4,"Distinguishes all",-1.45746517595458,"6*",-1.99778888342711,"6*",-0.540323707472526,"**"
"12","D12","Me gustaría que mi casa sea pegada a la del vecino y no tenga retiro frontal",-1.43,-1.31,-2.15,-4,-3,-5,"Distinguishes f3 only",-0.115654989546594,"",0.724125246427469,"***",0.839780235974063,"***"
"13","D13","Preferiría vivir frente a vías principales y/o avenidas",-1.28,-0.61,-0.99,-3,-1,-2,"Distinguishes f2 only",-0.672982733178194,"***",-0.294553224151575,"",0.378429509026619,"*"
"14","D14","Preferiría usar bus para llegar a mi trabajo o lugar de estudio",0.42,0.66,-1.05,1,1,-3,"Distinguishes f3 only",-0.239961008050143,"",1.47154536806454,"6*",1.71150637611468,"6*"
"15","D15","Me gustaría vivir en el campo",0.41,0.57,1.01,1,1,2,"Distinguishes f3 only",-0.157949538456021,"",-0.598653061720379,"**",-0.440703523264358,"*"
"16","D16","Me gustaría que existan muchos comercios servicios y equipamientos cerca de mi casa",0.01,0.71,-0.54,0,2,-1,"Distinguishes all",-0.696109721719179,"***",0.559496631823186,"**",1.25560635354236,"6*"
"17","D17","Me gustaría trasladarme en moto hacia mis diferentes lugares de destino",-0.85,-1.23,-0.65,-2,-3,-2,"Distinguishes f2 only",0.375689812924062,"*",-0.196004986838392,"",-0.571694799762453,"***"
"18","D18","Preferiría vivir en departamento antes que en casa",-0.16,-1.66,-0.61,-1,-4,-1,"Distinguishes all",1.49391696264092,"6*",0.443993498733315,"*",-1.04992346390761,"6*"
"19","D19","Preferiría un barrio con todas las calles asfaltadas destinadas al vehículo y moto exclusivamente",-1.04,0.44,0.27,-2,1,0,"Distinguishes f1 only",-1.48519099517181,"6*",-1.31231352864481,"6*",0.172877466526998,""
"20","D20","Creo que sería muy importante poder parquear en la vía del frente de mi casa",-0.82,0.17,0.4,-2,0,1,"Distinguishes f1 only",-0.992257357547568,"6*",-1.21783819510951,"6*",-0.225580837561937,""
"21","D21","Me agradaría que mi casa esté separada de los vecinos en todos sus lados",0.18,0.34,1.41,1,0,3,"Distinguishes f3 only",-0.160983989375098,"",-1.22901252809553,"6*",-1.06802853872043,"6*"
"22","D22","Me interesaría vivir en un lugar cercano al centro histórico",0.75,-1.03,-0.6,2,-2,-1,"Distinguishes all",1.77718280339422,"6*",1.35141105775228,"6*",-0.425771745641942,"*"
"23","D23","Me gustaría poder utilizar bicicleta para trasladarme de un lugar a otro",1.97,-0.17,0.86,5,0,2,"Distinguishes all",2.13715442693549,"6*",1.10660887045321,"6*",-1.03054555648228,"6*"
"24","D24","Me interesaría vivir en un barrio netamente residencial sin variedad de equipamientos ni comercios",-1.45,-1.02,1.2,-4,-2,3,"Distinguishes all",-0.433168583194228,"*",-2.65748960907822,"6*",-2.22432102588399,"6*"
"25","D25","Me parecería lindo un barrio que tenga casas grandes pequeñas edificios de departamentos o sea una variedad",0.22,-0.08,-0.16,1,0,0,"",0.300277318627406,"",0.376739596660609,"*",0.0764622780332032,""
"26","D26","Preferiría desplazarme en taxi para realizar mis actividades cotidianas",-1.13,-0.77,-0.56,-3,-2,-1,"Distinguishes f1 only",-0.358980458790547,"*",-0.57776254084411,"**",-0.218782082053563,""
"27","D27","Me agradaría que existan ciclovías en mi barrio",1.72,0.72,0.76,4,2,1,"Distinguishes f1 only",0.997652294126477,"6*",0.958799112494852,"6*",-0.038853181631625,""
"28","D28","Me interesaría vivir en un conjunto habitacional cerrado con las casas iguales entre ellas",-1.81,-1.1,-1.44,-5,-3,-4,"Distinguishes f1 only",-0.710591398811766,"***",-0.373290919797251,"*",0.337300479014516,""
"29","D29","Me gustaría una casa pegada a la del vecino con un pequeño retiro frontal",-0.51,-0.37,-1.64,-1,-1,-4,"Distinguishes f3 only",-0.136515249518158,"",1.13066442436622,"6*",1.26717967388438,"6*"
"30","D30","Preferiría utilizar auto privado para desplazarme diariamente",-1.06,0.65,0.56,-3,1,1,"Distinguishes f1 only",-1.70703612057051,"6*",-1.6146125007023,"6*",0.0924236198682056,""
"31","D31","Me encantaría que pasen varias líneas de bus por mi barrio",1.06,2.04,-1.06,2,5,-3,"Distinguishes all",-0.986094970175392,"6*",2.11558753401315,"6*",3.10168250418854,"6*"
"32","D32","Me interesaría que todas las vías de mi barrio estén conectadas",0.85,1.26,0.07,2,3,0,"Distinguishes all",-0.406221841874259,"*",0.779932526648732,"***",1.18615436852299,"6*"
"33","D33","Preferiría un barrio en el que viva gente pero no demasiada",-0.02,0.72,1.06,0,2,3,"Distinguishes f1 only",-0.736566705645586,"***",-1.07341466882951,"6*",-0.336847963183926,""
"34","D34","Me gustaría vivir en una edificación patrimonial con patio interior",1.31,-1.03,-0.88,3,-2,-2,"Distinguishes f1 only",2.33628263413176,"6*",2.18137905572167,"6*",-0.154903578410084,""
"35","D35","Me interesaría que mi casa esté frente a una calle no muy ancha",0.05,-0.43,-0.25,0,-1,0,"",0.481239906687039,"**",0.307688778654016,"",-0.173551128033023,""
"36","D36","Preferiría ir de acompañante antes que de conductor",-0.15,0.08,-0.12,0,0,0,"Consensus",-0.230854542889434,"",-0.0237632652506323,"",0.207091277638801,""
